"","gofFA.ks","gofFA.cvm","gofFA.ad","gofFA.aic","gofFA.bic"
"Weibull",0.105043963727197,0.0944864025221334,0.740769825131359,348.860839868624,352.684885879481
"lognormal",0.156336122293689,0.33330406953625,2.16702932081819,366.393818989445,370.217865000301
"normal",0.0994769444175932,0.0803049337033269,0.561552822617934,349.217657582578,353.041703593434
"gamma",0.141520619445117,0.221193201093285,1.46431699298832,358.008813217368,361.832859228224
"gumbel",0.130362219159781,0.207254962762668,1.39836131682209,360.055604733649,363.879650744505
"exponential",0.32710498242387,1.74248222738756,8.82320682511336,406.299746602111,408.211769607539
"Pearson III",0.125796314994049,0.141320236864275,0.802606789682486,352.59594903808,358.332018054365
